platform,title,meta_score,user_score,num_critics,num_users,genres,developer,release_date
pc,DIVINITY: ORIGINAL SIN II,93.0,8.8,72.0,2171,"Action RPG, Role-Playing, Western-Style",Larian Studios Games,2017-09-14
pc,OKAMI HD,92.0,7.9,10.0,209,"Action Adventure, General",Capcom,2017-12-12
pc,BAYONETTA,90.0,8.1,17.0,541,"Action Adventure, Linear","PlatinumGames, Nex Entertainment",2017-04-11
pc,F1 2017,89.0,7.3,13.0,102,"Racing, Simulation, Automobile",Codemasters,2017-08-24
pc,LONE ECHO,89.0,7.9,14.0,77,"Action Adventure, General",Ready at Dawn,2017-07-20
pc,REZ INFINITE,89.0,7.3,7.0,39,"Action, Shooter, Rail",UGA,2017-08-09
pc,WHAT REMAINS OF EDITH FINCH,89.0,8.4,23.0,721,"Adventure, 3D, First-Person",Giant Sparrow,2017-04-24
pc,XCOM 2: WAR OF THE CHOSEN,88.0,7.9,39.0,294,"Strategy, Turn-Based, Tactics",Firaxis Games,2017-08-29
pc,CUPHEAD,88.0,8.3,31.0,1427,"Action, Platformer, 2D",Studio MDHR,2017-09-29
pc,NIGHT IN THE WOODS,88.0,7.6,30.0,375,"Fantasy, Action Adventure, Adventure, General",Infinite Fall,2017-02-21
pc,FINAL FANTASY XIV: STORMBLOOD,87.0,8.7,21.0,527,"Role-Playing, Massively Multiplayer",Square Enix,2017-06-20
pc,HOLLOW KNIGHT,87.0,9,27.0,1486,"Action Adventure, General",Team Cherry,2017-02-24
pc,RAW DATA,87.0,6.6,7.0,10,"Action, Shooter, First-Person, Arcade",Survios,2017-10-05
pc,TOTAL WAR: WARHAMMER II,87.0,7.9,69.0,518,"Strategy, Real-Time, Tactics",Creative Assembly,2017-09-28
pc,WEST OF LOATHING,87.0,7.7,14.0,84,"Role-Playing, General",Asymmetric Publications,2017-08-10
pc,WOLFENSTEIN II: THE NEW COLOSSUS,86.0,6.8,40.0,1278,"Action, Shooter, First-Person, Arcade",MachineGames,2017-10-27
pc,PLAYERUNKNOWN'S BATTLEGROUNDS,86.0,4.7,46.0,1821,"Action, Shooter, First-Person, Tactical","Bluehole, Inc., PUBG Corporation",2017-12-20
pc,INJUSTICE 2,86.0,7.6,15.0,203,"Action, Fighting, 2D",QLOC,2017-11-30
pc,PARADIGM,85.0,7.7,8.0,40,"Adventure, Point-and-Click",Jacob Janerka,2017-04-05
pc,BATTLERITE,85.0,7.3,18.0,109,"Strategy, Real-Time, MOBA",Stunlock Studios,2017-11-08
pc,GALACTIC CIVILIZATIONS III: CRUSADE,85.0,7,10.0,21,"Strategy, Turn-Based, 4X",Stardock,2017-05-04
pc,STEAMWORLD DIG 2,85.0,8.3,14.0,67,"Action, Action Adventure, General, Platformer, 2D",Image & Form,2017-09-22
pc,ROBO RECALL,85.0,7.6,11.0,34,"Action, General, Shooter, Light Gun",Epic Games,2017-03-01
pc,STARCRAFT REMASTERED,85.0,7.9,30.0,234,"Strategy, Real-Time, Command",Blizzard Entertainment,2017-08-14
pc,PLANESCAPE: TORMENT - ENHANCED EDITION,85.0,7.2,10.0,122,"Role-Playing, Western-Style",Beamdog,2017-04-11
pc,RAKUEN,84.0,8.3,9.0,95,"Adventure, General, General",Laura Shigihara,2017-05-10
pc,GOROGOA,84.0,8.4,32.0,146,"Puzzle, General","Jason Roberts, Buried Signal",2017-12-14
pc,NEX MACHINA: DEATH MACHINE,84.0,6.8,16.0,47,"Action, Shooter, Shoot-Em-Up, Top-Down",Housemarque,2017-06-20
pc,NIER: AUTOMATA,84.0,8.6,12.0,1502,"Role-Playing, Action RPG",PlatinumGames,2017-03-17
pc,NIOH: COMPLETE EDITION,84.0,7,23.0,331,"Role-Playing, Action RPG",Team Ninja,2017-11-07
pc,THIMBLEWEED PARK,84.0,8.1,59.0,219,"Adventure, Point-and-Click",Ron Gilbert and Gary Winnick,2017-03-30
pc,PROJECT CARS 2,84.0,7.2,25.0,213,"Racing, Simulation, Automobile",Slightly Mad Studios,2017-09-21
pc,THE END IS NIGH,84.0,7.5,15.0,61,"Action, Platformer, 2D","Edmund McMillen, Tyler Glaiel",2017-07-12
pc,ASSASSIN'S CREED ORIGINS,84.0,6.8,29.0,2029,"Action Adventure, Open-World","Ubisoft, Ubisoft Montreal",2017-10-27
pc,DETENTION,83.0,7.8,18.0,103,"Adventure, General",Red Candle Games,2017-01-12
pc,GUILD WARS 2: PATH OF FIRE,83.0,7.3,13.0,244,"Role-Playing, Massively Multiplayer",ArenaNet,2017-09-22
pc,HELLBLADE: SENUA'S SACRIFICE,83.0,8.1,24.0,1217,"Action Adventure, General",Ninja Theory,2017-08-07
pc,BLEED 2,83.0,7.1,9.0,13,"Action, Platformer, 2D",BootdiskRevolution,2017-02-08
pc,DESTINY 2,83.0,4.3,36.0,1588,"Action, Shooter, First-Person, Arcade","Bungie Software, Bungie",2017-10-24
pc,THE SEXY BRUTALE,83.0,7.7,28.0,87,"Adventure, General","Tequila Works, Cavalier Game Studios",2017-04-11
pc,THE LEGEND OF HEROES: TRAILS IN THE SKY THE 3RD,83.0,8.2,11.0,65,"Role-Playing, Japanese-Style",Falcom,2017-05-03
pc,STEEL DIVISION: NORMANDY 44,83.0,7.7,24.0,64,"Strategy, Real-Time, General, Tactics",Eugen Systems,2017-05-23
pc,RESIDENT EVIL 7: BIOHAZARD,83.0,7.8,17.0,1357,"Action Adventure, Survival",Capcom,2017-01-23
pc,DARK SOULS III: THE RINGED CITY,82.0,8.3,22.0,252,"Role-Playing, Action RPG",From Software,2017-03-28
pc,L.A. NOIRE: THE VR CASE FILES,82.0,6.2,26.0,26,"Adventure, 3D, First-Person",Rockstar Games,2017-12-15
