platform,title,meta_score,user_score,num_critics,num_users,genres,developer,release_date
pc,.HACK//G.U. LAST RECODE,69.0,8.1,7,27,"Miscellaneous, Compilation",CyberConnect2,2017-11-03
ps4,.HACK//G.U. LAST RECODE,76.0,8.1,21,68,"Miscellaneous, Compilation",CyberConnect2,2017-11-03
pc,11-11: MEMORIES RETOLD,73.0,6.7,11,29,"Adventure, General, 3D, Third-Person",Digixart Entertainment,2018-11-08
ps4,11-11: MEMORIES RETOLD,77.0,7.7,33,57,"Adventure, General, 3D, Third-Person",Digixart Entertainment,2018-11-09
pc,198X,63.0,5.5,13,21,"Action, Miscellaneous, Platformer, Party / Minigame, 2D",Hi-Bit Studios,2019-06-20
ps4,198X,74.0,5.9,7,15,"Action, Miscellaneous, Platformer, Party / Minigame, 2D",Hi-Bit Studios,2019-07-16
pc,2DARK,68.0,5.5,14,33,"Action Adventure, General",Gloomywood,2017-03-10
ps4,2DARK,54.0,7.3,19,24,"Action Adventure, General",Gloomywood,2017-03-10
pc,9 MONKEYS OF SHAOLIN,71.0,7.3,12,10,"Action, Beat-Em-Up, 3D",Sobaka,2020-10-16
ps4,9 MONKEYS OF SHAOLIN,71.0,6.4,14,7,"Action, Beat-Em-Up, 3D",Sobaka,2020-10-16
pc,A FISHERMAN'S TALE,78.0,5.0,8,8,"Adventure, General",Innerspace VR,2019-01-10
ps4,A FISHERMAN'S TALE,70.0,5.7,14,13,"Adventure, General",Innerspace VR,2019-01-22
pc,A HAT IN TIME,79.0,8.7,39,460,"Action, Platformer, 3D",Gears for Breakfast,2017-10-05
ps4,A HAT IN TIME,79.0,8.1,17,101,"Action, Platformer, 3D",Gears for Breakfast,2017-12-05
pc,A PLAGUE TALE: INNOCENCE,81.0,8.5,33,1142,"Action Adventure, General, Linear",Asobo Studio,2019-05-13
ps4,A PLAGUE TALE: INNOCENCE,81.0,8.5,61,1080,"Action Adventure, General, Linear",Asobo Studio,2019-05-14
pc,A WAY OUT,78.0,7.8,16,582,"Action, Action Adventure, General, Linear",Hazelight,2018-03-23
ps4,A WAY OUT,78.0,7.9,62,851,"Action Adventure, General, Linear",Hazelight,2018-03-23
pc,ABSOLVER,75.0,6.0,41,94,"Role-Playing, Action RPG",Sloclap,2017-08-29
ps4,ABSOLVER,69.0,5.4,25,81,"Role-Playing, Action RPG",Sloclap,2017-08-29
pc,ACE COMBAT 7: SKIES UNKNOWN,78.0,7.0,14,184,"Simulation, Flight, Combat",Project Aces,2019-01-31
ps4,ACE COMBAT 7: SKIES UNKNOWN,80.0,7.9,69,364,"Simulation, Flight, Combat",Project Aces,2019-01-18
pc,AER: MEMORIES OF OLD,69.0,6.5,18,54,"Action Adventure, General, Open-World","Daedalic Entertainment, Forgotten Key",2017-10-25
ps4,AER: MEMORIES OF OLD,70.0,6.9,10,44,"Action Adventure, General, Open-World",Daedalic Entertainment,2017-10-25
pc,AFTERPARTY,75.0,6.9,24,52,"Adventure, General",Night School Studio,2019-10-29
ps4,AFTERPARTY,70.0,6.8,11,23,"Adventure, General",Night School Studio,2019-10-29
pc,AGE OF WONDERS: PLANETFALL,81.0,7.6,42,103,"Strategy, Turn-Based, General, 4X",Triumph Studios,2019-08-06
ps4,AGE OF WONDERS: PLANETFALL,78.0,6.7,10,41,"Strategy, Turn-Based, General, 4X",Triumph Studios,2019-08-06
pc,AGENTS OF MAYHEM,68.0,5.4,22,115,"Action Adventure, Open-World",Volition Inc.,2017-08-15
ps4,AGENTS OF MAYHEM,62.0,6.6,70,148,"Action Adventure, Open-World",Volition Inc.,2017-08-15
pc,AGONY,47.0,4.2,35,278,"General, Action Adventure, Survival",Madmind Studio,2018-05-29
ps4,AGONY,37.0,4.6,17,153,"Action Adventure, General, Survival",Madmind Studio,2018-05-29
pc,ALEX KIDD IN MIRACLE WORLD DX,67.0,7.9,10,7,"Action, Platformer, 2D",Jankenteam,2021-06-22
ps4,ALEX KIDD IN MIRACLE WORLD DX,60.0,6.5,12,20,"Action, Platformer, 2D",Jankenteam,2021-06-22
pc,AMERICAN FUGITIVE,66.0,6.3,8,22,"Action Adventure, Sandbox, Open-World",Fallen Tree Games,2019-05-21
ps4,AMERICAN FUGITIVE,66.0,5.2,9,18,"Action Adventure, Sandbox, Open-World",Fallen Tree Games,2019-05-21
pc,AMNESIA: REBIRTH,80.0,6.4,54,198,"Action Adventure, Survival",Frictional Games,2020-10-20
ps4,AMNESIA: REBIRTH,75.0,6.5,31,45,"Action Adventure, Survival",Frictional Games,2020-10-20
pc,ANCESTORS LEGACY,77.0,7.4,22,116,"Strategy, Real-Time, General, Command",Destructive Creations,2018-05-22
ps4,ANCESTORS LEGACY,74.0,7.0,12,23,"Strategy, Real-Time, General, Command",Destructive Creations,2019-08-13
pc,ANCESTORS: THE HUMANKIND ODYSSEY,64.0,5.8,71,269,"Action Adventure, General, Survival",Panache Digital Games,2019-08-27
ps4,ANCESTORS: THE HUMANKIND ODYSSEY,70.0,5.9,16,64,"Action Adventure, General, Survival",Panache Digital Games,2019-12-06
pc,ANTHEM,59.0,4.0,76,3684,"Role-Playing, Action RPG",BioWare,2019-02-22
ps4,ANTHEM,54.0,3.5,28,1384,"Role-Playing, Action RPG",BioWare,2019-02-22
pc,AO TENNIS 2,65.0,7.4,9,67,"Sports, Individual, Tennis",Big Ant Studios,2020-01-09
ps4,AO TENNIS 2,69.0,6.2,20,65,"Sports, Individual, Tennis",Big Ant Studios,2020-02-11
pc,APEX LEGENDS,88.0,6.0,25,1414,"Action, Shooter, First-Person, Tactical",Respawn Entertainment,2019-02-04
ps4,APEX LEGENDS,89.0,6.9,28,1441,"Action, Shooter, First-Person, Tactical",Respawn Entertainment,2019-02-04
pc,ARISE: A SIMPLE STORY,79.0,7.6,14,51,"Action, Adventure, General, 3D, Third-Person",Piccolo,2019-12-03
ps4,ARISE: A SIMPLE STORY,80.0,7.8,29,103,"Action, Adventure, General, 3D, Third-Person",Piccolo,2019-12-03
pc,ARK: SURVIVAL EVOLVED,70.0,6.4,18,484,"Action Adventure, Survival, Sandbox",Studio Wildcard,2017-08-29
ps4,ARK: SURVIVAL EVOLVED,69.0,5.2,15,284,"Action Adventure, Survival, Sandbox",Studio Wildcard,2017-08-29
pc,ARY AND THE SECRET OF SEASONS,59.0,5.5,9,6,"Action Adventure, General",Exiin,2020-09-01
ps4,ARY AND THE SECRET OF SEASONS,56.0,6.3,25,8,"Action Adventure, General",Exiin,2020-09-01
pc,ASH OF GODS: REDEMPTION,65.0,7.9,21,90,"Strategy, Turn-Based, Tactics",AurumDust,2018-03-23
ps4,ASH OF GODS: REDEMPTION,65.0,7.0,9,34,"Strategy, Turn-Based, Tactics",AurumDust,2020-01-31
pc,ASSASSIN'S CREED ODYSSEY,86.0,6.2,14,2162,"Action Adventure, Open-World",Ubisoft,2018-10-02
ps4,ASSASSIN'S CREED ODYSSEY,83.0,6.4,86,3203,"Action Adventure, Open-World",Ubisoft,2018-10-02
pc,ASSASSIN'S CREED ORIGINS,84.0,6.8,29,2029,"Action Adventure, Open-World","Ubisoft, Ubisoft Montreal",2017-10-27
ps4,ASSASSIN'S CREED ORIGINS,81.0,7.2,63,2962,"Action Adventure, Open-World","Ubisoft, Ubisoft Montreal",2017-10-27
pc,ASSASSIN'S CREED VALHALLA,82.0,7.4,31,2499,"Action Adventure, Open-World",Ubisoft Montreal,2020-11-10
ps4,ASSASSIN'S CREED VALHALLA,80.0,7.2,50,2457,"Action Adventure, Open-World","Ubisoft, Ubisoft Montreal",2020-11-10
pc,ASSETTO CORSA COMPETIZIONE,77.0,7.1,22,75,"Racing, Simulation, Automobile",Kunos Simulazioni,2019-05-29
ps4,ASSETTO CORSA COMPETIZIONE,71.0,5.4,21,54,"Racing, Simulation, Automobile",505 Games,2020-06-23
pc,ATELIER RYZA 2: LOST LEGENDS & THE SECRET FAIRY,84.0,7.7,8,18,"Role-Playing, Japanese-Style",Gust,2021-01-26
ps4,ATELIER RYZA 2: LOST LEGENDS & THE SECRET FAIRY,81.0,7.5,29,33,"Role-Playing, Japanese-Style",Gust,2021-01-26
pc,AVEN COLONY,65.0,8.2,20,25,"Strategy, Management, Government",Mothership Entertainment,2017-07-25
ps4,AVEN COLONY,73.0,7.2,16,19,"Strategy, Management, Government","Sold Out Software, Mothership Entertainment",2017-07-25
pc,BALAN WONDERWORLD,38.0,6.6,10,175,"Action, Platformer, 3D","Square Enix, Arzest, Balan Company",2021-03-26
ps4,BALAN WONDERWORLD,44.0,6.4,10,187,"Action, Platformer, 3D","Square Enix, Arzest, Balan Company",2021-03-26
pc,BATMAN: THE ENEMY WITHIN - EPISODE 1: THE ENIGMA,76.0,6.6,34,60,"Adventure, Point-and-Click",Telltale Games,2017-08-08
ps4,BATMAN: THE ENEMY WITHIN - EPISODE 1: THE ENIGMA,70.0,6.0,8,25,"Adventure, Point-and-Click",Telltale Games,2017-08-08
pc,BATMAN: THE ENEMY WITHIN - EPISODE 2: THE PACT,71.0,7.3,19,25,"Adventure, Point-and-Click",Telltale Games,2017-09-26
ps4,BATMAN: THE ENEMY WITHIN - EPISODE 2: THE PACT,67.0,5.3,9,14,"Adventure, Point-and-Click",Telltale Games,2017-09-26
pc,BATMAN: THE ENEMY WITHIN - EPISODE 3: THE FRACTURED MASK,71.0,7.3,18,26,"Adventure, Point-and-Click",Telltale Games,2017-11-21
ps4,BATMAN: THE ENEMY WITHIN - EPISODE 3: THE FRACTURED MASK,70.0,6.1,8,7,"Adventure, Point-and-Click",Telltale Games,2017-11-21
pc,BATMAN: THE ENEMY WITHIN - EPISODE 4: WHAT AILS YOU,77.0,7.0,19,30,"Adventure, Point-and-Click",Telltale Games,2018-01-22
ps4,BATMAN: THE ENEMY WITHIN - EPISODE 4: WHAT AILS YOU,77.0,6.8,9,20,"Adventure, Point-and-Click",Telltale Games,2018-01-22
pc,BATTLE CHASERS: NIGHTWAR,78.0,7.4,28,113,"Role-Playing, Action RPG, Japanese-Style",Airship Syndicate Entertainment,2017-10-03
ps4,BATTLE CHASERS: NIGHTWAR,75.0,6.9,34,84,"Role-Playing, Action RPG, Japanese-Style",Airship Syndicate Entertainment,2017-10-03
pc,BATTLE PRINCESS MADELYN,73.0,6.7,7,22,"Action, Platformer, 2D",Causal Bit Games,2018-12-05
ps4,BATTLE PRINCESS MADELYN,63.0,5.0,8,20,"Action, Platformer, 2D",Causal Bit Games,2018-12-20
pc,BATTLEFIELD V,81.0,2.9,52,3000,"Action, Shooter, First-Person, Tactical",EA DICE,2018-11-15
ps4,BATTLEFIELD V,73.0,2.5,23,2850,"Action, Shooter, First-Person, Tactical",EA DICE,2018-11-15
pc,BEAT SABER,93.0,8.4,7,143,"Action, General",Hyperbolic Magnetism,2019-05-21
ps4,BEAT SABER,86.0,8.2,24,150,"Action, General",Hyperbolic Magnetism,2018-11-20
pc,BEE SIMULATOR,58.0,5.5,14,30,"Simulation, General",Varsav Game Studios,2019-11-14
ps4,BEE SIMULATOR,47.0,6.5,10,25,"Simulation, General",Varsav Game Studios,2019-11-12
pc,BELOW,67.0,5.3,24,61,"Action, General",Capy Games,2018-12-14
ps4,BELOW,75.0,4.1,15,10,"Action, General",Capy Games,2020-04-07
pc,BEYOND BLUE,72.0,6.9,20,18,"Simulation, Adventure, General, 3D, Third-Person",E-Line Media,2020-06-11
ps4,BEYOND BLUE,75.0,8.3,14,85,"Simulation, Adventure, General, 3D, Third-Person",E-Line Media,2020-06-11
pc,BIOMUTANT,67.0,6.3,61,436,"Role-Playing, Action RPG",Experiment 101,2021-05-25
ps4,BIOMUTANT,64.0,6.8,50,484,"Role-Playing, Action RPG",Experiment 101,2021-05-25
pc,BIPED,74.0,7.6,11,37,"Action, General, Platformer, 3D",NExT Studios,2020-03-26
ps4,BIPED,70.0,7.9,11,46,"Action, General, Platformer, 3D",NExT Studios,2020-04-08
pc,BLACK MIRROR,60.0,4.7,19,36,"Adventure, 3D, Third-Person",KING Art,2017-11-28
ps4,BLACK MIRROR,54.0,5.2,21,36,"Adventure, 3D, Third-Person",THQ Nordic,2017-11-28
pc,BLACKSAD: UNDER THE SKIN,65.0,7.7,29,65,"Adventure, 3D, First-Person",Pendulo Studios,2019-11-05
ps4,BLACKSAD: UNDER THE SKIN,59.0,5.8,10,49,"Adventure, 3D, First-Person",Pendulo Studios,2019-11-05
pc,BLACKWOOD CROSSING,70.0,6.5,14,15,"Adventure, General",PaperSeven,2017-04-04
ps4,BLACKWOOD CROSSING,71.0,6.8,19,30,"Adventure, General",PaperSeven,2017-04-04
pc,BLAIR WITCH,69.0,6.3,45,417,"Action Adventure, Survival",Bloober Team,2019-08-30
ps4,BLAIR WITCH,65.0,6.3,9,34,"Action Adventure, Survival",Bloober Team,2019-12-03
pc,BLASPHEMOUS,77.0,6.5,21,298,"Action Adventure, Open-World",The Game Kitchen,2019-09-10
ps4,BLASPHEMOUS,78.0,7.9,16,146,"Action Adventure, Open-World",The Game Kitchen,2019-09-10
pc,BLAZING CHROME,79.0,7.4,14,37,"Action, Platformer, 2D",JoyMasher,2019-07-11
ps4,BLAZING CHROME,76.0,7.6,17,28,"Action, Platformer, 2D",JoyMasher,2019-07-11
pc,BLEED 2,83.0,7.1,9,13,"Action, Platformer, 2D",BootdiskRevolution,2017-02-08
ps4,BLEED 2,79.0,7.0,9,9,"Action, Platformer, 2D",BootdiskRevolution,2018-02-06
pc,BLOODROOTS,76.0,6.1,14,19,"Action, Beat-Em-Up, 3D",Paper Cult,2020-02-28
ps4,BLOODROOTS,81.0,6.4,15,28,"Action, Beat-Em-Up, 3D",Paper Cult,2020-02-28
pc,BLOODSTAINED: RITUAL OF THE NIGHT,83.0,8.3,26,348,"Action, Role-Playing, Platformer, Action RPG, 2D",ArtPlay,2019-06-18
ps4,BLOODSTAINED: RITUAL OF THE NIGHT,83.0,8.4,54,491,"Action, Platformer, 2D, Role-Playing, Action RPG",ArtPlay,2019-06-18
pc,BORDERLANDS 3,81.0,5.3,53,2588,"Action, Shooter, First-Person, Arcade",Gearbox Software,2019-09-13
ps4,BORDERLANDS 3,78.0,5.9,43,1276,"Action, Shooter, First-Person, Arcade",Gearbox Software,2019-09-13
pc,BRIDGE CONSTRUCTOR PORTAL,77.0,6.6,29,48,"Simulation, Virtual, Career",ClockStone Software,2017-12-20
ps4,BRIDGE CONSTRUCTOR PORTAL,78.0,4.2,7,19,"Simulation, Virtual, Career",ClockStone Software,2018-03-01
pc,BUBSY: THE WOOLIES STRIKE BACK,44.0,5.5,8,32,"Action, Platformer, 2D",Black Forest Games,2017-10-31
ps4,BUBSY: THE WOOLIES STRIKE BACK,45.0,5.9,20,135,"Action, Platformer, 2D",Black Forest Games,2017-10-31
pc,BUGSNAX,72.0,7.5,16,49,"Action, General, Adventure, 3D, First-Person","Young Horses, Inc",2020-11-12
ps4,BUGSNAX,79.0,7.7,29,99,"Action, General, Adventure, 3D, First-Person","Young Horses, Inc",2020-11-12
pc,BULLETSTORM: FULL CLIP EDITION,76.0,7.0,9,75,"Action, Shooter, First-Person, Arcade",People Can Fly,2017-04-07
ps4,BULLETSTORM: FULL CLIP EDITION,75.0,7.1,43,146,"Action, Shooter, First-Person, Arcade",People Can Fly,2017-04-07
pc,BUSH HOCKEY LEAGUE,48.0,4.3,7,4,"Sports, Team, Ice Hockey, Arcade",V7 Entertainment Inc.,2017-03-28
ps4,BUSH HOCKEY LEAGUE,56.0,4.7,16,13,"Sports, Team, Ice Hockey, Arcade",V7 Entertainment Inc.,2017-03-29
pc,CALL OF CTHULHU,67.0,6.7,40,197,"Role-Playing, General","Cyanide, Cyanide Studios",2018-10-29
ps4,CALL OF CTHULHU,63.0,7.1,47,189,"Role-Playing, General","Cyanide, Cyanide Studios",2018-10-30
pc,CALL OF DUTY: BLACK OPS 4,83.0,3.2,29,794,"Action, Shooter, First-Person, Tactical",Treyarch,2018-10-12
ps4,CALL OF DUTY: BLACK OPS 4,83.0,4.0,72,1696,"Action, Shooter, First-Person, Tactical",Treyarch,2018-10-12
pc,CALL OF DUTY: BLACK OPS COLD WAR,76.0,3.1,28,664,"Action, Shooter, First-Person, Tactical","Raven Software, Treyarch",2020-11-13
ps4,CALL OF DUTY: BLACK OPS COLD WAR,76.0,3.4,35,1237,"Action, Shooter, First-Person, Tactical","Raven Software, Treyarch",2020-11-13
pc,CALL OF DUTY: MODERN WARFARE,81.0,2.5,27,3670,"Action, Shooter, First-Person, Arcade",Infinity Ward,2019-10-25
ps4,CALL OF DUTY: MODERN WARFARE,80.0,3.4,78,9527,"Action, Shooter, First-Person, Arcade",Infinity Ward,2019-10-25
pc,CALL OF DUTY: WARZONE,80.0,3.3,13,458,"Action, Shooter, First-Person, Tactical",Infinity Ward,2020-03-10
ps4,CALL OF DUTY: WARZONE,79.0,4.2,15,896,"Action, Shooter, First-Person, Tactical",Infinity Ward,2020-03-10
pc,CALL OF DUTY: WWII,73.0,3.9,21,876,"Action, Shooter, First-Person, Arcade",Sledgehammer Games,2017-11-02
ps4,CALL OF DUTY: WWII,79.0,4.8,83,1877,"Action, Shooter, First-Person, Arcade",Sledgehammer Games,2017-11-03
pc,CARTO,72.0,7.8,7,17,"Strategy, Adventure, General",Sunhead Games,2020-10-27
ps4,CARTO,75.0,6.3,7,6,"Strategy, Adventure, General",Sunhead Games,2020-10-27
pc,CAT QUEST,79.0,7.6,10,48,"Role-Playing, Action RPG",The Gentlebros,2017-08-08
ps4,CAT QUEST,74.0,7.5,10,50,"Role-Playing, Action RPG",The Gentlebros,2017-11-14
pc,CELESTE,88.0,8.3,17,639,"Action, Platformer, 2D",Matt Makes Games Inc.,2018-01-25
ps4,CELESTE,91.0,7.5,7,390,"Action, Platformer, 2D",Matt Makes Games Inc.,2018-01-25
pc,CHILDREN OF MORTA,82.0,8.3,47,236,"Role-Playing, Adventure, General, Action RPG",Dead Mage,2019-09-03
ps4,CHILDREN OF MORTA,80.0,8.4,12,95,"Role-Playing, Adventure, General, Action RPG","Dead Mage Studio, Dead Mage",2019-10-15
pc,CHILDREN OF ZODIARCS,73.0,6.9,7,14,"Role-Playing, Japanese-Style",Cardboard Utopia,2017-07-18
ps4,CHILDREN OF ZODIARCS,81.0,5.8,8,18,"Role-Playing, Japanese-Style",Cardboard Utopia,2017-07-18
pc,CHRONOS: BEFORE THE ASHES,67.0,6.4,19,12,"Action Adventure, General",Gunfire Games,2020-12-01
ps4,CHRONOS: BEFORE THE ASHES,68.0,5.6,22,14,"Action Adventure, General",Gunfire Games,2020-12-01
pc,CITY OF BRASS,69.0,3.9,11,25,"Action Adventure, General",Uppercut Games Pty Ltd,2018-05-04
ps4,CITY OF BRASS,66.0,4.8,22,17,"Action Adventure, General",Uppercut Games Pty Ltd,2018-05-04
pc,CLOSE TO THE SUN,66.0,5.1,37,133,"Adventure, 3D, First-Person",Storm in a Teacup,2020-05-05
ps4,CLOSE TO THE SUN,68.0,5.3,11,21,"Adventure, 3D, First-Person",Storm in a Teacup,2019-10-29
pc,CLOUDPUNK,73.0,7.7,40,82,"Simulation, Vehicle, Civilian",ION LANDS,2020-04-23
ps4,CLOUDPUNK,64.0,6.9,16,17,"Simulation, Vehicle, Civilian",ION LANDS,2020-10-15
pc,CODE VEIN,72.0,7.6,18,433,"Role-Playing, Action RPG","Shift, Bandai Namco Games",2019-09-26
ps4,CODE VEIN,70.0,7.8,69,582,"Role-Playing, Action RPG","Shift, Bandai Namco Games",2019-09-27
pc,COFFEE TALK,75.0,7.6,11,35,"Adventure, Visual Novel",Toge Productions,2020-01-29
ps4,COFFEE TALK,70.0,6.3,8,15,"Adventure, Visual Novel",Toge Productions,2020-01-30
pc,CONAN EXILES,68.0,6.6,24,211,"Action Adventure, Survival",Funcom,2018-05-08
