platform,title,meta_score,user_score,num_critics,num_users,genres,developer,release_date
ps4,PERSONA 5,93,8.7,98,5184,"Role-Playing, Japanese-Style",Atlus,2017-04-04
ps4,UNDERTALE,92,7.1,18,845,"Role-Playing, Japanese-Style","tobyfox, 8-4",2017-08-15
ps4,FINAL FANTASY XIV: STORMBLOOD,89,8.6,15,331,"Role-Playing, Massively Multiplayer",Square Enix,2017-06-20
ps4,HORIZON ZERO DAWN,89,8.4,115,10589,"Role-Playing, Action RPG",Guerrilla,2017-02-28
ps4,WHAT REMAINS OF EDITH FINCH,88,8.3,65,749,"General, Adventure, 3D, First-Person",Giant Sparrow,2017-04-25
ps4,NIER: AUTOMATA,88,8.9,101,4123,"Role-Playing, Action RPG",PlatinumGames,2017-03-07
ps4,NEX MACHINA: DEATH MACHINE,88,8,47,159,"Action, Shooter, Shoot-Em-Up, Top-Down",Housemarque,2017-06-20
ps4,NIOH,88,8.3,100,2441,"Role-Playing, Action RPG",Team Ninja,2017-02-07
ps4,INJUSTICE 2,87,8,90,777,"Action, Fighting, 2D",NetherRealm Studios,2017-05-16
ps4,NIGHT IN THE WOODS,87,7.1,15,190,"Fantasy, Action Adventure, Adventure, General",Infinite Fall,2017-02-21
ps4,OKAMI HD,87,8.2,39,207,"Action Adventure, General",Capcom,2017-12-12
ps4,ZERO ESCAPE: THE NONARY GAMES,87,8,10,112,"Miscellaneous, Compilation",Spike Chunsoft,2017-03-24
ps4,WOLFENSTEIN II: THE NEW COLOSSUS,87,7.3,70,1382,"Action, Shooter, First-Person, Arcade",MachineGames,2017-10-27
ps4,F1 2017,86,7.5,41,89,"Racing, Simulation, Automobile",Codemasters,2017-08-25
ps4,THIMBLEWEED PARK,86,7.6,7,51,"Adventure, Point-and-Click",Ron Gilbert and Gary Winnick,2017-08-22
ps4,FINAL FANTASY XII: THE ZODIAC AGE,86,8.4,75,597,"Role-Playing, Japanese-Style",Square Enix,2017-07-11
ps4,SONIC MANIA,86,8,70,657,"Action, Platformer, 2D","SegaSoft, Sega, PagodaWest Games",2017-08-15
ps4,RESIDENT EVIL 7: BIOHAZARD,86,8,100,3532,"Action Adventure, Survival",Capcom,2017-01-24
ps4,GUILTY GEAR XRD: REV 2,86,8.1,35,110,"Action, Fighting, 2D",Arc System Works,2017-05-26
ps4,PILLARS OF ETERNITY: COMPLETE EDITION,85,7.2,25,119,"Role-Playing, Western-Style","Obsidian Entertainment, Paradox Arctic",2017-08-29
ps4,NIOH: BLOODSHED'S END,85,7.6,8,61,"Role-Playing, Action RPG",Team Ninja,2017-09-26
ps4,FINAL FANTASY IX,85,8.5,14,369,"Role-Playing, Japanese-Style","SquareSoft, Square Enix",2017-09-19
ps4,YS VIII: LACRIMOSA OF DANA,85,8.5,39,253,"Role-Playing, Action RPG",Falcom,2017-09-12
ps4,YAKUZA 0,85,8.5,87,1277,"Action Adventure, Open-World",Ryu ga Gotoku Studios,2017-01-24
ps4,MLB THE SHOW 17,85,6.9,45,157,"Sports, Team, Baseball, Sim",Sony Interactive Entertainment,2017-03-28
ps4,DESTINY 2,85,5,95,2462,"Action, Shooter, First-Person, Arcade",Bungie,2017-09-06
ps4,WIPEOUT: OMEGA COLLECTION,85,8,53,318,"Racing, Arcade, Futuristic",Sony Interactive Entertainment,2017-06-06
ps4,SHADOW TACTICS: BLADES OF THE SHOGUN,85,8.3,16,105,"Strategy, Real-Time, Tactics",Mimimi Productions,2017-08-01
ps4,PYRE,85,7.9,48,170,"Role-Playing, General",Supergiant Games,2017-07-25
ps4,DIRT 4,85,7.5,44,176,"Racing, Simulation, Automobile",Codemasters,2017-06-06
ps4,STATIK,84,7.8,18,60,"Adventure, 3D, First-Person",Tarsier Studios,2017-04-24
ps4,KINGDOM HEARTS HD I.5 + II.5 REMIX,84,8.9,35,589,"Miscellaneous, Compilation",Square Enix,2017-03-28
ps4,POLYBIUS,84,7.2,13,55,"Action, Shooter, Rail",Llamasoft,2017-05-09
ps4,UNCHARTED: THE LOST LEGACY,84,8,104,1954,"Action, Action Adventure, General",Naughty Dog,2017-08-22
ps4,HATSUNE MIKU: PROJECT DIVA FUTURE TONE - COLORFUL TONE,84,7.7,21,75,"Action, Rhythm, Music",Sega,2017-01-10
ps4,HATSUNE MIKU: PROJECT DIVA FUTURE TONE - FUTURE SOUND,84,7.5,21,75,"Action, Rhythm, Music",Sega,2017-01-10
ps4,FIFA 18,84,3.5,68,1076,"Sports, Team, Soccer, Sim",EA Vancouver,2017-09-26
ps4,PRO EVOLUTION SOCCER 2018,83,7.3,53,352,"Sports, Team, Soccer, Sim",Konami,2017-09-12
ps4,PUYO PUYO TETRIS,83,7.4,16,56,"Puzzle, Stacking","Sega, Sonic Team",2017-04-25
ps4,DANGANRONPA 1-2 RELOAD,83,8.3,29,135,"Miscellaneous, Compilation",Spike Chunsoft,2017-03-14
ps4,HORIZON ZERO DAWN: THE FROZEN WILDS,83,7.9,70,796,"Role-Playing, Action RPG",Guerrilla,2017-11-07
ps4,DETENTION,83,7.5,12,33,"Adventure, General",Red Candle Games,2017-10-03
ps4,SUPERHOT,83,7.3,14,79,"Action, Shooter, First-Person, Tactical",SUPERHOT,2017-07-21
ps4,HAND OF FATE 2,82,7.7,14,27,"Miscellaneous, Board / Card Game",Defiant Development,2017-11-07
ps4,PROJECT CARS 2,82,6,44,196,"Racing, Simulation, Automobile","Bandai Namco Games, Slightly Mad Studios",2017-09-22
ps4,MADDEN NFL 18,82,3.4,40,159,"Sports, Team, Football, Sim",Electronic Arts,2017-08-22
ps4,DARK SOULS III: THE RINGED CITY,82,8.4,28,253,"Role-Playing, Action RPG",From Software,2017-03-28
ps4,DISHONORED: DEATH OF THE OUTSIDER,82,7.1,47,202,"Action Adventure, General",Arkane Studios,2017-09-15
ps4,TEKKEN 7,82,6.4,78,773,"Action, Fighting, 3D",Bandai Namco Games,2017-06-02
ps4,HELLBLADE: SENUA'S SACRIFICE,81,7.9,68,1354,"Fantasy, Action Adventure, General",Ninja Theory,2017-08-08
ps4,DANGANRONPA V3: KILLING HARMONY,81,7.4,44,218,"Action, General, Adventure, Visual Novel",Spike Chunsoft,2017-09-26
ps4,DEUS EX: MANKIND DIVIDED - A CRIMINAL PAST,81,6.8,7,35,"Action Adventure, General",Eidos Montreal,2017-02-23
ps4,CITIES: SKYLINES - PLAYSTATION 4 EDITION,81,7.2,15,118,"Strategy, Management, Government",Tantalus,2017-08-15
ps4,CHILDREN OF ZODIARCS,81,5.8,8,18,"Role-Playing, Japanese-Style",Cardboard Utopia,2017-07-18
ps4,ASSASSIN'S CREED ORIGINS,81,7.2,63,2962,"Action Adventure, Open-World","Ubisoft, Ubisoft Montreal",2017-10-27
ps4,SINE MORA EX,81,7.1,18,20,"Action, Shooter, Shoot-Em-Up, Horizontal",Digital Reality,2017-08-08
ps4,REDOUT,81,7.6,11,31,"Racing, Arcade, Futuristic",505 Games,2017-08-29
ps4,NBA 2K18,80,1.8,54,729,"Arcade, Sports, Team, Basketball, Sim",Visual Concepts,2017-09-15
ps4,YAKUZA KIWAMI,80,7.9,70,560,"Action Adventure, Open-World",Ryu ga Gotoku Studios,2017-08-29
ps4,RIME,80,7.8,63,333,"General, Action, Adventure, General, 3D, Third-Person",Tequila Works,2017-05-26
ps4,CRASH BANDICOOT N. SANE TRILOGY,80,8.4,85,1291,"Miscellaneous, Compilation",Vicarious Visions,2017-06-30
ps4,GRAVITY RUSH 2,80,8.1,94,634,"Action, Action Adventure, Platformer, Open-World, 3D",SCE Japan Studio,2017-01-20
ps4,RABI-RIBI,80,7.2,11,21,"Action, Platformer, 2D",CreSpirit,2017-09-01
ps4,EVERYTHING,80,7.1,27,52,"Action Adventure, Adventure, General",David OReilly,2017-03-21
ps4,MIDDLE-EARTH: SHADOW OF WAR,80,4.6,69,1526,"Action Adventure, Open-World",Monolith Productions,2017-10-10
ps4,ZERO ESCAPE: ZERO TIME DILEMMA,80,7,8,36,"Adventure, Visual Novel",Aksys Games,2017-08-18
ps4,LOCOROCO 2 REMASTERED,79,7.4,20,21,"Action, Platformer, 2D",SCE Japan Studio,2017-12-09
ps4,THE METRONOMICON: SLAY THE DANCE FLOOR,79,6.8,7,11,"Action, Rhythm, Music",Puuba,2017-08-29
ps4,A HAT IN TIME,79,8.1,17,101,"Action, Platformer, 3D",Gears for Breakfast,2017-12-05
ps4,LIFE IS STRANGE: BEFORE THE STORM - EPISODE 2: BRAVE NEW WORLD,79,7.8,32,130,"Action Adventure, General",Deck Nine Games,2017-10-19
ps4,SOUTH PARK: THE FRACTURED BUT WHOLE,79,7.8,74,535,"Role-Playing, General",Ubisoft San Francisco,2017-10-17
ps4,PREY,79,8,68,1104,"General, Action, Shooter, First-Person, Arcade",Arkane Studios,2017-05-05
ps4,HOB,79,7,18,55,"Action, Action Adventure, General, Open-World","Runic Games, BlitWorks",2017-09-26
ps4,LOCOROCO,79,7.3,31,41,"Action, Platformer, 2D",Sony Interactive Entertainment,2017-05-09
ps4,NIER: AUTOMATA - 3C3C1D119440927,79,7.5,10,72,"Role-Playing, Action RPG",PlatinumGames,2017-05-02
ps4,ROCK OF AGES 2: BIGGER & BOULDER,79,7.1,14,24,"Action, General",ACE Team,2017-08-28
ps4,SHOOTY FRUITY,79,7.1,10,16,"Action, Shooter, Light Gun",nDreams,2017-12-19
ps4,ECHO,79,7,24,24,"Action Adventure, General",Ultra Ultra,2017-10-10
ps4,NIOH: DEFIANT HONOR,79,6.8,8,39,"Role-Playing, Action RPG",Team Ninja,2017-07-25
ps4,TALES OF BERSERIA,79,7.2,57,569,"Japanese-Style, Role-Playing, Action RPG",Bandai Namco Games,2017-01-24
ps4,WONDER BOY: THE DRAGON'S TRAP,79,7.8,41,56,"Action Adventure, General",Lizardcube,2017-04-18
