platform,title,meta_score,user_score,num_critics,num_users,genres,developer,release_date
pc,DIVINITY: ORIGINAL SIN II,93,8.8,72,2171 Ratings,"['Action RPG', 'Role-Playing', 'Western-Style']",Larian Studios Games,14-Sep-17
pc,OKAMI HD,92,7.9,10,209 Ratings,"['Action Adventure', 'General']",Capcom,12-Dec-17
pc,BAYONETTA,90,8.1,17,541 Ratings,"['Action Adventure', 'Linear']","PlatinumGames, Nex Entertainment",11-Apr-17
pc,F1 2017,89,7.3,13,102 Ratings,"['Racing', 'Simulation', 'Automobile']",Codemasters,24-Aug-17
pc,LONE ECHO,89,7.9,14,77 Ratings,"['Action Adventure', 'General']",Ready at Dawn,20-Jul-17
pc,REZ INFINITE,89,7.3,7,39 Ratings,"['Action', 'Shooter', 'Rail']",UGA,9-Aug-17
pc,WHAT REMAINS OF EDITH FINCH,89,8.4,23,721 Ratings,"['Adventure', '3D', 'First-Person']",Giant Sparrow,24-Apr-17
pc,XCOM 2: WAR OF THE CHOSEN,88,7.9,39,294 Ratings,"['Strategy', 'Turn-Based', 'Tactics']",Firaxis Games,29-Aug-17
pc,CUPHEAD,88,8.3,31,1427 Ratings,"['Action', 'Platformer', '2D']",Studio MDHR,29-Sep-17
pc,NIGHT IN THE WOODS,88,7.6,30,375 Ratings,"['Fantasy', 'Action Adventure', 'Adventure', 'General']",Infinite Fall,21-Feb-17
pc,FINAL FANTASY XIV: STORMBLOOD,87,8.7,21,527 Ratings,"['Role-Playing', 'Massively Multiplayer']",Square Enix,20-Jun-17
pc,HOLLOW KNIGHT,87,9,27,1486 Ratings,"['Action Adventure', 'General']",Team Cherry,24-Feb-17
pc,RAW DATA,87,6.6,7,10 Ratings,"['Action', 'Shooter', 'First-Person', 'Arcade']",Survios,5-Oct-17
pc,TOTAL WAR: WARHAMMER II,87,7.9,69,518 Ratings,"['Strategy', 'Real-Time', 'Tactics']",Creative Assembly,28-Sep-17
pc,WEST OF LOATHING,87,7.7,14,84 Ratings,"['Role-Playing', 'General']",Asymmetric Publications,10-Aug-17
pc,WOLFENSTEIN II: THE NEW COLOSSUS,86,6.8,40,1278 Ratings,"['Action', 'Shooter', 'First-Person', 'Arcade']",MachineGames,27-Oct-17
