platform,title,meta_score,user_score,num_critics,num_users,genres,developer,release_date
ps4,PERSONA 5,93,8.7,98,5184 Ratings,"['Role-Playing', 'Japanese-Style']",Atlus,4-Apr-17
ps4,UNDERTALE,92,7.1,18,845 Ratings,"['Role-Playing', 'Japanese-Style']","tobyfox, 8-4",15-Aug-17
ps4,FINAL FANTASY XIV: STORMBLOOD,89,8.6,15,331 Ratings,"['Role-Playing', 'Massively Multiplayer']",Square Enix,20-Jun-17
ps4,HORIZON ZERO DAWN,89,8.4,115,10589 Ratings,"['Role-Playing', 'Action RPG']",Guerrilla,28-Feb-17
ps4,WHAT REMAINS OF EDITH FINCH,88,8.3,65,749 Ratings,"['General', 'Adventure', '3D', 'First-Person']",Giant Sparrow,25-Apr-17
ps4,NIER: AUTOMATA,88,8.9,101,4123 Ratings,"['Role-Playing', 'Action RPG']",PlatinumGames,7-Mar-17
ps4,NEX MACHINA: DEATH MACHINE,88,8,47,159 Ratings,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",Housemarque,20-Jun-17
ps4,NIOH,88,8.3,100,2441 Ratings,"['Role-Playing', 'Action RPG']",Team Ninja,7-Feb-17
ps4,INJUSTICE 2,87,8,90,777 Ratings,"['Action', 'Fighting', '2D']",NetherRealm Studios,16-May-17
ps4,NIGHT IN THE WOODS,87,7.1,15,190 Ratings,"['Fantasy', 'Action Adventure', 'Adventure', 'General']",Infinite Fall,21-Feb-17
ps4,OKAMI HD,87,8.2,39,207 Ratings,"['Action Adventure', 'General']",Capcom,12-Dec-17
ps4,ZERO ESCAPE: THE NONARY GAMES,87,8,10,112 Ratings,"['Miscellaneous', 'Compilation']",Spike Chunsoft,24-Mar-17
ps4,WOLFENSTEIN II: THE NEW COLOSSUS,87,7.3,70,1382 Ratings,"['Action', 'Shooter', 'First-Person', 'Arcade']",MachineGames,27-Oct-17
ps4,F1 2017,86,7.5,41,89 Ratings,"['Racing', 'Simulation', 'Automobile']",Codemasters,25-Aug-17
ps4,THIMBLEWEED PARK,86,7.6,7,51 Ratings,"['Adventure', 'Point-and-Click']",Ron Gilbert and Gary Winnick,22-Aug-17
ps4,FINAL FANTASY XII: THE ZODIAC AGE,86,8.4,75,597 Ratings,"['Role-Playing', 'Japanese-Style']",Square Enix,11-Jul-17
ps4,SONIC MANIA,86,8,70,657 Ratings,"['Action', 'Platformer', '2D']","SegaSoft, Sega, PagodaWest Games",15-Aug-17
ps4,RESIDENT EVIL 7: BIOHAZARD,86,8,100,3532 Ratings,"['Action Adventure', 'Survival']",Capcom,24-Jan-17
ps4,GUILTY GEAR XRD: REV 2,86,8.1,35,110 Ratings,"['Action', 'Fighting', '2D']",Arc System Works,26-May-17
ps4,PILLARS OF ETERNITY: COMPLETE EDITION,85,7.2,25,119 Ratings,"['Role-Playing', 'Western-Style']","Obsidian Entertainment, Paradox Arctic",29-Aug-17
ps4,NIOH: BLOODSHED'S END,85,7.6,8,61 Ratings,"['Role-Playing', 'Action RPG']",Team Ninja,26-Sep-17
ps4,FINAL FANTASY IX,85,8.5,14,369 Ratings,"['Role-Playing', 'Japanese-Style']","SquareSoft, Square Enix",19-Sep-17
ps4,YS VIII: LACRIMOSA OF DANA,85,8.5,39,253 Ratings,"['Role-Playing', 'Action RPG']",Falcom,12-Sep-17
ps4,YAKUZA 0,85,8.5,87,1277 Ratings,"['Action Adventure', 'Open-World']",Ryu ga Gotoku Studios,24-Jan-17
ps4,MLB THE SHOW 17,85,6.9,45,157 Ratings,"['Sports', 'Team', 'Baseball', 'Sim']",Sony Interactive Entertainment,28-Mar-17
ps4,DESTINY 2,85,5,95,2462 Ratings,"['Action', 'Shooter', 'First-Person', 'Arcade']",Bungie,6-Sep-17
ps4,WIPEOUT: OMEGA COLLECTION,85,8,53,318 Ratings,"['Racing', 'Arcade', 'Futuristic']",Sony Interactive Entertainment,6-Jun-17
ps4,SHADOW TACTICS: BLADES OF THE SHOGUN,85,8.3,16,105 Ratings,"['Strategy', 'Real-Time', 'Tactics']",Mimimi Productions,1-Aug-17
ps4,PYRE,85,7.9,48,170 Ratings,"['Role-Playing', 'General']",Supergiant Games,25-Jul-17
ps4,DIRT 4,85,7.5,44,176 Ratings,"['Racing', 'Simulation', 'Automobile']",Codemasters,6-Jun-17
ps4,STATIK,84,7.8,18,60 Ratings,"['Adventure', '3D', 'First-Person']",Tarsier Studios,24-Apr-17
ps4,KINGDOM HEARTS HD I.5 + II.5 REMIX,84,8.9,35,589 Ratings,"['Miscellaneous', 'Compilation']",Square Enix,28-Mar-17
ps4,POLYBIUS,84,7.2,13,55 Ratings,"['Action', 'Shooter', 'Rail']",Llamasoft,9-May-17
ps4,UNCHARTED: THE LOST LEGACY,84,8,104,1954 Ratings,"['Action', 'Action Adventure', 'General']",Naughty Dog,22-Aug-17
ps4,HATSUNE MIKU: PROJECT DIVA FUTURE TONE - COLORFUL TONE,84,7.7,21,75 Ratings,"['Action', 'Rhythm', 'Music']",Sega,10-Jan-17
ps4,HATSUNE MIKU: PROJECT DIVA FUTURE TONE - FUTURE SOUND,84,7.5,21,75 Ratings,"['Action', 'Rhythm', 'Music']",Sega,10-Jan-17
ps4,FIFA 18,84,3.5,68,1076 Ratings,"['Sports', 'Team', 'Soccer', 'Sim']",EA Vancouver,26-Sep-17
ps4,PRO EVOLUTION SOCCER 2018,83,7.3,53,352 Ratings,"['Sports', 'Team', 'Soccer', 'Sim']",Konami,12-Sep-17
ps4,PUYO PUYO TETRIS,83,7.4,16,56 Ratings,"['Puzzle', 'Stacking']","Sega, Sonic Team",25-Apr-17
ps4,DANGANRONPA 1-2 RELOAD,83,8.3,29,135 Ratings,"['Miscellaneous', 'Compilation']",Spike Chunsoft,14-Mar-17
ps4,HORIZON ZERO DAWN: THE FROZEN WILDS,83,7.9,70,796 Ratings,"['Role-Playing', 'Action RPG']",Guerrilla,7-Nov-17
ps4,DETENTION,83,7.5,12,33 Ratings,"['Adventure', 'General']",Red Candle Games,3-Oct-17
ps4,SUPERHOT,83,7.3,14,79 Ratings,"['Action', 'Shooter', 'First-Person', 'Tactical']",SUPERHOT,21-Jul-17
ps4,HAND OF FATE 2,82,7.7,14,27 Ratings,"['Miscellaneous', 'Board / Card Game']",Defiant Development,7-Nov-17
ps4,PROJECT CARS 2,82,6,44,196 Ratings,"['Racing', 'Simulation', 'Automobile']","Bandai Namco Games, Slightly Mad Studios",22-Sep-17
ps4,MADDEN NFL 18,82,3.4,40,159 Ratings,"['Sports', 'Team', 'Football', 'Sim']",Electronic Arts,22-Aug-17
ps4,DARK SOULS III: THE RINGED CITY,82,8.4,28,253 Ratings,"['Role-Playing', 'Action RPG']",From Software,28-Mar-17
ps4,DISHONORED: DEATH OF THE OUTSIDER,82,7.1,47,202 Ratings,"['Action Adventure', 'General']",Arkane Studios,15-Sep-17
ps4,TEKKEN 7,82,6.4,78,773 Ratings,"['Action', 'Fighting', '3D']",Bandai Namco Games,2-Jun-17
ps4,HELLBLADE: SENUA'S SACRIFICE,81,7.9,68,1354 Ratings,"['Fantasy', 'Action Adventure', 'General']",Ninja Theory,8-Aug-17
ps4,DANGANRONPA V3: KILLING HARMONY,81,7.4,44,218 Ratings,"['Action', 'General', 'Adventure', 'Visual Novel']",Spike Chunsoft,26-Sep-17
ps4,DEUS EX: MANKIND DIVIDED - A CRIMINAL PAST,81,6.8,7,35 Ratings,"['Action Adventure', 'General']",Eidos Montreal,23-Feb-17
ps4,CITIES: SKYLINES - PLAYSTATION 4 EDITION,81,7.2,15,118 Ratings,"['Strategy', 'Management', 'Government']",Tantalus,15-Aug-17
ps4,CHILDREN OF ZODIARCS,81,5.8,8,18 Ratings,"['Role-Playing', 'Japanese-Style']",Cardboard Utopia,18-Jul-17
ps4,ASSASSIN'S CREED ORIGINS,81,7.2,63,2962 Ratings,"['Action Adventure', 'Open-World']","Ubisoft, Ubisoft Montreal",27-Oct-17
ps4,SINE MORA EX,81,7.1,18,20 Ratings,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Horizontal']",Digital Reality,8-Aug-17
ps4,REDOUT,81,7.6,11,31 Ratings,"['Racing', 'Arcade', 'Futuristic']",505 Games,29-Aug-17
ps4,NBA 2K18,80,1.8,54,729 Ratings,"['Arcade', 'Sports', 'Team', 'Basketball', 'Sim']",Visual Concepts,15-Sep-17
ps4,YAKUZA KIWAMI,80,7.9,70,560 Ratings,"['Action Adventure', 'Open-World']",Ryu ga Gotoku Studios,29-Aug-17
ps4,RIME,80,7.8,63,333 Ratings,"['General', 'Action', 'Adventure', 'General', '3D', 'Third-Person']",Tequila Works,26-May-17
ps4,CRASH BANDICOOT N. SANE TRILOGY,80,8.4,85,1291 Ratings,"['Miscellaneous', 'Compilation']",Vicarious Visions,30-Jun-17
ps4,GRAVITY RUSH 2,80,8.1,94,634 Ratings,"['Action', 'Action Adventure', 'Platformer', 'Open-World', '3D']",SCE Japan Studio,20-Jan-17
ps4,RABI-RIBI,80,7.2,11,21 Ratings,"['Action', 'Platformer', '2D']",CreSpirit,1-Sep-17
ps4,EVERYTHING,80,7.1,27,52 Ratings,"['Action Adventure', 'Adventure', 'General']",David OReilly,21-Mar-17
ps4,MIDDLE-EARTH: SHADOW OF WAR,80,4.6,69,1526 Ratings,"['Action Adventure', 'Open-World']",Monolith Productions,10-Oct-17
ps4,ZERO ESCAPE: ZERO TIME DILEMMA,80,7,8,36 Ratings,"['Adventure', 'Visual Novel']",Aksys Games,18-Aug-17
ps4,LOCOROCO 2 REMASTERED,79,7.4,20,21 Ratings,"['Action', 'Platformer', '2D']",SCE Japan Studio,9-Dec-17
ps4,THE METRONOMICON: SLAY THE DANCE FLOOR,79,6.8,7,11 Ratings,"['Action', 'Rhythm', 'Music']",Puuba,29-Aug-17
ps4,A HAT IN TIME,79,8.1,17,101 Ratings,"['Action', 'Platformer', '3D']",Gears for Breakfast,5-Dec-17
ps4,LIFE IS STRANGE: BEFORE THE STORM - EPISODE 2: BRAVE NEW WORLD,79,7.8,32,130 Ratings,"['Action Adventure', 'General']",Deck Nine Games,19-Oct-17
ps4,SOUTH PARK: THE FRACTURED BUT WHOLE,79,7.8,74,535 Ratings,"['Role-Playing', 'General']",Ubisoft San Francisco,17-Oct-17
ps4,PREY,79,8,68,1104 Ratings,"['General', 'Action', 'Shooter', 'First-Person', 'Arcade']",Arkane Studios,5-May-17
ps4,HOB,79,7,18,55 Ratings,"['Action', 'Action Adventure', 'General', 'Open-World']","Runic Games, BlitWorks",26-Sep-17
ps4,LOCOROCO,79,7.3,31,41 Ratings,"['Action', 'Platformer', '2D']",Sony Interactive Entertainment,9-May-17
ps4,NIER: AUTOMATA - 3C3C1D119440927,79,7.5,10,72 Ratings,"['Role-Playing', 'Action RPG']",PlatinumGames,2-May-17
ps4,ROCK OF AGES 2: BIGGER & BOULDER,79,7.1,14,24 Ratings,"['Action', 'General']",ACE Team,28-Aug-17
ps4,SHOOTY FRUITY,79,7.1,10,16 Ratings,"['Action', 'Shooter', 'Light Gun']",nDreams,19-Dec-17
ps4,ECHO,79,7,24,24 Ratings,"['Action Adventure', 'General']",Ultra Ultra,10-Oct-17
ps4,NIOH: DEFIANT HONOR,79,6.8,8,39 Ratings,"['Role-Playing', 'Action RPG']",Team Ninja,25-Jul-17
ps4,TALES OF BERSERIA,79,7.2,57,569 Ratings,"['Japanese-Style', 'Role-Playing', 'Action RPG']",Bandai Namco Games,24-Jan-17
ps4,WONDER BOY: THE DRAGON'S TRAP,79,7.8,41,56 Ratings,"['Action Adventure', 'General']",Lizardcube,18-Apr-17
ps4,CALL OF DUTY: WWII,79,4.8,83,1877 Ratings,"['Action', 'Shooter', 'First-Person', 'Arcade']",Sledgehammer Games,3-Nov-17
ps4,PINBALL FX3,78,6.1,9,16 Ratings,"['Action', 'Pinball']",Zen Studios,26-Sep-17
ps4,SUPER RUDE BEAR RESURRECTION,78,5,12,6 Ratings,"['Action', 'Platformer', '2D']",Alex Rose,2-May-17
ps4,FOR HONOR,78,6.1,59,1093 Ratings,"['Action Adventure', 'General']",Ubisoft Montreal,14-Feb-17
ps4,FORMA.8,78,5.4,17,39 Ratings,"['Action', 'Action Adventure', 'Platformer', 'Open-World', '2D']",MixedBag,23-Feb-17
ps4,DRAGON'S DOGMA: DARK ARISEN,78,8.2,24,198 Ratings,"['Role-Playing', 'Action RPG']",Capcom,3-Oct-17
